Area,Point Order,Polygon ID,Latitude,Longitude
Yishun,0.0001,27,1.427335337,103.855626608
Yishun,0.0002,27,1.425523965,103.859547292
Yishun,0.0003,27,1.424478642,103.861969755
Yishun,0.0004,27,1.424630364,103.862130343
Yishun,0.0005,27,1.424610637,103.862175698
Yishun,0.0006,27,1.424546421,103.862318013
Yishun,0.0007,27,1.424476765,103.862467635
Yishun,0.0008,27,1.424401063,103.862625065
Yishun,0.0009,27,1.424304158,103.862821769
Yishun,0.001,27,1.424253511,103.862924486
Yishun,0.0011,27,1.424103323,103.863229071
Yishun,0.0012,27,1.424004878,103.863428721
Yishun,0.0013,27,1.423933264,103.863573958
Yishun,0.0014,27,1.423881438,103.863678745
Yishun,0.0015,27,1.423849197,103.863742870
Yishun,0.0016,27,1.423837308,103.863766280
Yishun,0.0017,27,1.423823263,103.863793715
Yishun,0.0018,27,1.423823272,103.863793723
Yishun,0.0019,27,1.423835735,103.863804958
Yishun,0.002,27,1.423858891,103.863842054
Yishun,0.0021,27,1.423876971,103.863879191
Yishun,0.0022,27,1.423896914,103.863913537
Yishun,0.0023,27,1.423922057,103.863954338
Yishun,0.0024,27,1.423934824,103.863994052
Yishun,0.0025,27,1.423945114,103.864019788
Yishun,0.0026,27,1.423955721,103.864044608
Yishun,0.0027,27,1.423961918,103.864075757
Yishun,0.0028,27,1.423967820,103.864112156
Yishun,0.0029,27,1.423978471,103.864141668
Yishun,0.003,27,1.423997095,103.864178780
Yishun,0.0031,27,1.424013549,103.864219778
Yishun,0.0032,27,1.424033561,103.864251775
Yishun,0.0033,27,1.424048913,103.864284875
Yishun,0.0034,27,1.424064944,103.864328418
Yishun,0.0035,27,1.424086610,103.864364677
Yishun,0.0036,27,1.424106810,103.864393054
Yishun,0.0037,27,1.424129991,103.864426899
Yishun,0.0038,27,1.424153181,103.864464715
Yishun,0.0039,27,1.424174648,103.864496829
Yishun,0.004,27,1.424205313,103.864543171
Yishun,0.0041,27,1.424230689,103.864581254
Yishun,0.0042,27,1.424256185,103.864633236
Yishun,0.0043,27,1.424279130,103.864688759
Yishun,0.0044,27,1.424316191,103.864747642
Yishun,0.0045,27,1.424354344,103.864825619
Yishun,0.0046,27,1.424386349,103.864888694
Yishun,0.0047,27,1.424403354,103.864926057
Yishun,0.0048,27,1.424424934,103.864956721
Yishun,0.0049,27,1.424448752,103.865000109
Yishun,0.005,27,1.424471027,103.865037785
Yishun,0.0051,27,1.424491029,103.865077185
Yishun,0.0052,27,1.424512902,103.865102599
Yishun,0.0053,27,1.424530331,103.865129833
Yishun,0.0054,27,1.424542667,103.865168119
Yishun,0.0055,27,1.424552061,103.865201659
Yishun,0.0056,27,1.424560865,103.865241904
Yishun,0.0057,27,1.424566330,103.865269113
Yishun,0.0058,27,1.424572933,103.865297357
Yishun,0.0059,27,1.424584392,103.865328641
Yishun,0.006,27,1.424591423,103.865358309
Yishun,0.0061,27,1.424596983,103.865395083
Yishun,0.0062,27,1.424603171,103.865422261
Yishun,0.0063,27,1.424618688,103.865451202
Yishun,0.0064,27,1.424623162,103.865491815
Yishun,0.0065,27,1.424629985,103.865536119
Yishun,0.0066,27,1.424637324,103.865583650
Yishun,0.0067,27,1.424645493,103.865625728
Yishun,0.0068,27,1.424647638,103.865678360
Yishun,0.006900000,27,1.424651574,103.865738137
Yishun,0.007000000,27,1.424658054,103.865786608
Yishun,0.007100000,27,1.424664120,103.865830223
Yishun,0.007200000,27,1.424670993,103.865875607
Yishun,0.007300000,27,1.424675170,103.865936638
Yishun,0.007400000,27,1.424678134,103.865987428
Yishun,0.007500000,27,1.424678668,103.866048074
Yishun,0.007600000,27,1.424678664,103.866082200
Yishun,0.007700000,27,1.424681585,103.866128296
Yishun,0.007800000,27,1.424690794,103.866173221
Yishun,0.007900000,27,1.424695518,103.866207684
Yishun,0.008000000,27,1.424692541,103.866240314
Yishun,0.008100000,27,1.424686605,103.866275292
Yishun,0.008200000,27,1.424686616,103.866275337
Yishun,0.008300000,27,1.424686622,103.866275390
Yishun,0.0084,27,1.424719749,103.866474348
Yishun,0.0085,27,1.424719779,103.866474529
Yishun,0.0086,27,1.424719825,103.866474434
Yishun,0.0087,27,1.424719820,103.866474751
Yishun,0.0088,27,1.424719851,103.866474926
Yishun,0.0089,27,1.424719847,103.866474933
Yishun,0.009,27,1.424771474,103.866782414
Yishun,0.0091,27,1.424790315,103.866894635
Yishun,0.0092,27,1.424788158,103.866914766
Yishun,0.0093,27,1.424854273,103.866989920
Yishun,0.0094,27,1.424856110,103.866992009
Yishun,0.0095,27,1.425077561,103.867243737
Yishun,0.0096,27,1.424983694,103.867421547
Yishun,0.0097,27,1.424635945,103.867047490
Yishun,0.0098,27,1.423016141,103.865117927
Yishun,0.0099,27,1.422285084,103.864383492
Yishun,0.01,27,1.422175246,103.864289943
Yishun,0.0101,27,1.422099619,103.864220434
Yishun,0.0102,27,1.422022103,103.864156560
Yishun,0.0103,27,1.421971056,103.864117109
Yishun,0.0104,27,1.421902991,103.864066386
Yishun,0.0105,27,1.421866165,103.864034566
Yishun,0.0106,27,1.421164721,103.863597677
Yishun,0.0107,27,1.418586280,103.862058199
Yishun,0.0108,27,1.417658944,103.861698610
Yishun,0.0109,27,1.416810768,103.861518810
Yishun,0.011,27,1.416064373,103.861428907
Yishun,0.0111,27,1.415453684,103.861473846
Yishun,0.0112,27,1.415170238,103.861521062
Yishun,0.0113,27,1.414613765,103.861613757
Yishun,0.0114,27,1.413726524,103.861784875
Yishun,0.0115,27,1.413571341,103.861814804
Yishun,0.0116,27,1.413262196,103.861835984
Yishun,0.0117,27,1.413201242,103.861840160
Yishun,0.0118,27,1.412860041,103.861863537
Yishun,0.0119,27,1.412099687,103.861784322
Yishun,0.012,27,1.411320940,103.861638088
Yishun,0.0121,27,1.410456347,103.861278608
Yishun,0.0122,27,1.410209372,103.861133950
Yishun,0.0123,27,1.409785049,103.860885415
Yishun,0.0124,27,1.409032060,103.860248890
Yishun,0.0125,27,1.408533855,103.859648447
Yishun,0.0126,27,1.406396536,103.856611993
Yishun,0.0127,27,1.406008883,103.856061262
Yishun,0.0128,27,1.405685671,103.855685408
Yishun,0.0129,27,1.405575905,103.855542793
Yishun,0.013,27,1.405570577,103.855536413
Yishun,0.0131,27,1.405456835,103.855458031
Yishun,0.0132,27,1.405113990,103.855221767
Yishun,0.0133,27,1.404873778,103.855056231
Yishun,0.0134,27,1.404120787,103.854810552
Yishun,0.0135,27,1.403390267,103.854765876
Yishun,0.0136,27,1.402793500,103.854852408
Yishun,0.0137,27,1.402692831,103.854867005
Yishun,0.0138,27,1.402521039,103.854947967
Yishun,0.0139,27,1.402519320,103.854948777
Yishun,0.014,27,1.402388515,103.855010420
Yishun,0.0141,27,1.402256065,103.855072842
Yishun,0.0142,27,1.401802393,103.855286647
Yishun,0.0143,27,1.401770555,103.855301652
Yishun,0.0144,27,1.401658829,103.855372125
Yishun,0.0145,27,1.401249856,103.855630092
Yishun,0.0146,27,1.401232133,103.855634889
Yishun,0.0147,27,1.401154522,103.855654140
Yishun,0.0148,27,1.401076284,103.855670703
Yishun,0.0149,27,1.400997516,103.855684557
Yishun,0.015,27,1.400985949,103.855686358
Yishun,0.0151,27,1.400970514,103.855688668
Yishun,0.0152,27,1.400955064,103.855690874
Yishun,0.0153,27,1.400939598,103.855692975
Yishun,0.0154,27,1.400914438,103.855696169
Yishun,0.0155,27,1.400889243,103.855699086
Yishun,0.0156,27,1.400864018,103.855701728
Yishun,0.0157,27,1.400832934,103.855704602
Yishun,0.0158,27,1.400801814,103.855707057
Yishun,0.0159,27,1.400770663,103.855709093
Yishun,0.016,27,1.400764819,103.855709428
Yishun,0.0161,27,1.400758974,103.855709748
Yishun,0.0162,27,1.400753128,103.855710053
Yishun,0.0163,27,1.400747282,103.855710344
Yishun,0.0164,27,1.400741436,103.855710621
Yishun,0.0165,27,1.400735588,103.855710881
Yishun,0.0166,27,1.400729740,103.855711127
Yishun,0.0167,27,1.400723891,103.855711360
Yishun,0.0168,27,1.400723728,103.855711366
Yishun,0.0169,27,1.400718042,103.855711578
Yishun,0.017,27,1.400712191,103.855711780
Yishun,0.0171,27,1.400706342,103.855711967
Yishun,0.0172,27,1.400700491,103.855712141
Yishun,0.0173,27,1.400694639,103.855712299
Yishun,0.0174,27,1.400688787,103.855712443
Yishun,0.017500000,27,1.400682936,103.855712571
Yishun,0.017600000,27,1.400677083,103.855712684
Yishun,0.017700000,27,1.400671231,103.855712784
Yishun,0.017800000,27,1.400665378,103.855712867
Yishun,0.017900000,27,1.400659525,103.855712937
Yishun,0.018000000,27,1.400653672,103.855712992
Yishun,0.018100000,27,1.400647470,103.855713034
Yishun,0.018200000,27,1.400641268,103.855713059
Yishun,0.018300000,27,1.400635066,103.855713068
Yishun,0.018400000,27,1.400634840,103.855713068
Yishun,0.018500000,27,1.400634808,103.855713068
Yishun,0.018600000,27,1.400590369,103.855712641
Yishun,0.018700000,27,1.400545946,103.855711364
Yishun,0.018800000,27,1.400501556,103.855709235
Yishun,0.018900000,27,1.400495713,103.855708890
Yishun,0.019000000,27,1.400489870,103.855708532
Yishun,0.019100000,27,1.400484028,103.855708160
Yishun,0.019200000,27,1.400408192,103.855701970
Yishun,0.019300000,27,1.400332603,103.855693297
Yishun,0.019400000,27,1.400257343,103.855682149
Yishun,0.019500000,27,1.400251570,103.855681189
Yishun,0.019600000,27,1.400245798,103.855680215
Yishun,0.019700000,27,1.400240030,103.855679226
Yishun,0.019800000,27,1.400234265,103.855678224
Yishun,0.019900000,27,1.400115738,103.855654246
Yishun,0.020000000,27,1.399998641,103.855624125
Yishun,0.020100000,27,1.399883294,103.855587945
Yishun,0.020200000,27,1.399877763,103.855586042
Yishun,0.020300000,27,1.399872236,103.855584126
Yishun,0.020400000,27,1.399866715,103.855582195
Yishun,0.020500000,27,1.399861199,103.855580251
Yishun,0.020600000,27,1.399855687,103.855578292
Yishun,0.020700000,27,1.399850180,103.855576319
Yishun,0.020800000,27,1.399844678,103.855574333
Yishun,0.020900000,27,1.399839181,103.855572333
Yishun,0.021000000,27,1.399833690,103.855570319
Yishun,0.021100000,27,1.399828204,103.855568292
Yishun,0.021200000,27,1.399822723,103.855566250
Yishun,0.021300000,27,1.399817247,103.855564194
Yishun,0.021400000,27,1.399811777,103.855562126
Yishun,0.021500000,27,1.399806311,103.855560043
Yishun,0.021600000,27,1.399800852,103.855557946
Yishun,0.021700000,27,1.399795397,103.855555835
Yishun,0.021800000,27,1.399789949,103.855553711
Yishun,0.021900000,27,1.399784504,103.855551573
Yishun,0.022000000,27,1.399779066,103.855549421
Yishun,0.022100000,27,1.399773633,103.855547255
Yishun,0.022200000,27,1.399578554,103.855458518
Yishun,0.022300000,27,1.399392620,103.855352149
Yishun,0.022400000,27,1.399217441,103.855229070
Yishun,0.022500000,27,1.399054534,103.855090346
Yishun,0.022600000,27,1.398905308,103.854937177
Yishun,0.022700000,27,1.398771057,103.854770891
Yishun,0.022800000,27,1.397945763,103.853574451
Yishun,0.022900000,27,1.397750726,103.853304657
Yishun,0.023000000,27,1.397087967,103.852387867
Yishun,0.023100000,27,1.396907992,103.852036807
Yishun,0.023200000,27,1.396849960,103.851923610
Yishun,0.023300000,27,1.396840212,103.851883917
Yishun,0.023400000,27,1.396826254,103.851862156
Yishun,0.023500000,27,1.396602290,103.851035628
Yishun,0.023600000,27,1.396469399,103.850070635
Yishun,0.023700000,27,1.396482189,103.849730825
Yishun,0.023800000,27,1.396485984,103.849629937
Yishun,0.023900000,27,1.396501209,103.849225268
Yishun,0.024000000,27,1.396503368,103.849167874
Yishun,0.024100000,27,1.396555152,103.847791418
Yishun,0.024200000,27,1.396606983,103.846630250
Yishun,0.024300000,27,1.396613422,103.844939533
Yishun,0.024400000,27,1.396531185,103.843807741
Yishun,0.024500000,27,1.396517172,103.843639321
Yishun,0.024600000,27,1.396437433,103.842680970
Yishun,0.024700000,27,1.396311780,103.842044574
Yishun,0.024800000,27,1.395987520,103.840464776
Yishun,0.024900000,27,1.395594799,103.838966619
Yishun,0.025000000,27,1.394990097,103.836539664
Yishun,0.025100000,27,1.394961678,103.836425603
Yishun,0.025200000,27,1.394728779,103.835659965
Yishun,0.025300000,27,1.394540341,103.835040491
Yishun,0.025400000,27,1.394451470,103.834679227
Yishun,0.025500000,27,1.394405710,103.834493215
Yishun,0.025600000,27,1.394395823,103.834453016
Yishun,0.025700000,27,1.394382968,103.834400767
Yishun,0.025800000,27,1.394350514,103.834268838
Yishun,0.025900000,27,1.394337310,103.834215161
Yishun,0.026000000,27,1.394307698,103.834094785
Yishun,0.026100000,27,1.394253410,103.833858700
Yishun,0.026200000,27,1.394202464,103.833637145
Yishun,0.026300000,27,1.393908051,103.832356815
Yishun,0.026400000,27,1.393683072,103.831516607
Yishun,0.026500000,27,1.393266099,103.829734642
Yishun,0.026600000,27,1.392948119,103.827371802
Yishun,0.026700000,27,1.392943417,103.827291366
Yishun,0.026800000,27,1.392935013,103.827147596
Yishun,0.026900000,27,1.392922894,103.826878390
Yishun,0.027000000,27,1.392915299,103.826609186
Yishun,0.027100000,27,1.392911800,103.826339998
Yishun,0.027200000,27,1.392911871,103.826070811
Yishun,0.027300000,27,1.392916038,103.825801202
Yishun,0.027400000,27,1.392925151,103.825532490
Yishun,0.027500000,27,1.392937903,103.825262897
Yishun,0.027600000,27,1.392955177,103.824993761
Yishun,0.027700000,27,1.392975136,103.824725538
Yishun,0.027800000,27,1.393000536,103.824456420
Yishun,0.027900000,27,1.393029114,103.824188217
Yishun,0.028000000,27,1.393062213,103.823919574
Yishun,0.028100000,27,1.393099940,103.823653545
Yishun,0.028200000,27,1.393138199,103.823404382
Yishun,0.028300000,27,1.393534980,103.821893029
Yishun,0.028400000,27,1.394341192,103.818822165
Yishun,0.028500000,27,1.394830701,103.817163538
Yishun,0.028600000,27,1.394853594,103.817085972
Yishun,0.028700000,27,1.395096602,103.816442451
Yishun,0.028800000,27,1.395214840,103.816241282
Yishun,0.028900000,27,1.395571952,103.815633689
Yishun,0.029000000,27,1.396107853,103.815010752
Yishun,0.029100000,27,1.396669615,103.814530165
Yishun,0.029200000,27,1.397345800,103.814114426
Yishun,0.029300000,27,1.397826206,103.813909187
Yishun,0.029400000,27,1.398170183,103.813796020
Yishun,0.029500000,27,1.399810715,103.813233586
Yishun,0.029600000,27,1.400356758,103.812995562
Yishun,0.029700000,27,1.401534015,103.812439360
Yishun,0.029800000,27,1.402726781,103.811808360
Yishun,0.029900000,27,1.402801043,103.811758752
Yishun,0.030000000,27,1.403808973,103.811085429
Yishun,0.030100000,27,1.405065604,103.810045254
Yishun,0.030200000,27,1.406312452,103.809127406
Yishun,0.030300000,27,1.406960198,103.808753819
Yishun,0.030400000,27,1.408152328,103.808192787
Yishun,0.030500000,27,1.409860297,103.807535714
Yishun,0.030600000,27,1.411259159,103.807019275
Yishun,0.030700000,27,1.412386322,103.806619094
Yishun,0.030800000,27,1.413382531,103.806201134
Yishun,0.030900000,27,1.414028583,103.805944361
Yishun,0.031000000,27,1.414355334,103.805776260
Yishun,0.031100000,27,1.414304909,103.805931424
Yishun,0.031200000,27,1.414273011,103.806128623
Yishun,0.031300000,27,1.414264853,103.806346757
Yishun,0.031400000,27,1.414292234,103.806558540
Yishun,0.031500000,27,1.414327069,103.806764125
Yishun,0.031600000,27,1.415042453,103.808167540
Yishun,0.031700000,27,1.415185612,103.808498188
Yishun,0.031800000,27,1.415296634,103.808840814
Yishun,0.031900000,27,1.415374524,103.809192342
Yishun,0.032000000,27,1.415418583,103.809549616
Yishun,0.032100000,27,1.415428415,103.809909431
Yishun,0.032200000,27,1.415417644,103.810437845
Yishun,0.032300000,27,1.415272952,103.811110733
Yishun,0.032400000,27,1.413703700,103.814663519
Yishun,0.032500000,27,1.413578153,103.815251181
Yishun,0.032600000,27,1.413562402,103.815828347
Yishun,0.032700000,27,1.413640373,103.816537582
Yishun,0.032800000,27,1.413902473,103.818108424
Yishun,0.032900000,27,1.414180857,103.819679421
Yishun,0.033000000,27,1.414240140,103.820315259
Yishun,0.033100000,27,1.414254980,103.820771521
Yishun,0.033200000,27,1.414243111,103.821024669
Yishun,0.033300000,27,1.414100819,103.821660490
Yishun,0.033400000,27,1.413893313,103.822313986
Yishun,0.033500000,27,1.413721380,103.822708435
Yishun,0.033600000,27,1.413411353,103.823079349
Yishun,0.033700000,27,1.413950723,103.823225172
Yishun,0.033800000,27,1.414478858,103.823346375
Yishun,0.033900000,27,1.415264806,103.823536777
Yishun,0.034000000,27,1.415839856,103.823676162
Yishun,0.034100000,27,1.416272185,103.823784113
Yishun,0.0342,27,1.416565150,103.823857280
Yishun,0.0343,27,1.417009101,103.823968286
Yishun,0.0344,27,1.417869201,103.824180294
Yishun,0.0345,27,1.418472723,103.824329137
Yishun,0.0346,27,1.419476744,103.824573981
Yishun,0.0347,27,1.419668262,103.824619330
